CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,0,19,15,39,0
2,0,21,15,81,0
3,1,20,16,6,0
4,1,23,16,77,0
5,1,31,17,40,0
6,1,22,17,76,0
7,1,35,18,6,0
8,1,23,18,94,0
9,0,64,19,3,2
10,1,30,19,72,0
11,0,67,19,14,2
12,1,35,19,99,0
13,1,58,20,15,2
14,1,24,20,77,0
15,0,37,20,13,0
16,0,22,20,79,0
17,1,35,21,35,0
18,0,20,21,66,0
19,0,52,23,29,2
20,1,35,23,98,0
21,0,35,24,35,0
22,0,25,24,73,0
23,1,46,25,5,2
24,0,31,25,73,0
25,1,54,28,14,2
26,0,29,28,82,0
27,1,45,28,32,2
28,0,35,28,61,0
29,1,40,29,31,0
30,1,23,29,87,0
31,0,60,30,4,2
32,1,21,30,73,0
33,0,53,33,4,2
34,0,18,33,92,0
35,1,49,33,14,2
36,1,21,33,81,0
37,1,42,34,17,2
38,1,30,34,73,0
39,1,36,37,26,0
40,1,20,37,75,0
41,1,65,38,35,2
42,0,24,38,92,0
43,0,48,39,36,2
44,1,31,39,61,0
45,1,49,39,28,2
46,1,24,39,65,0
47,1,50,40,55,2
48,1,27,40,47,0
49,1,29,40,42,0
50,1,31,40,42,0
51,1,49,42,52,2
52,0,33,42,60,0
53,1,31,43,54,0
54,0,59,43,60,2
55,1,50,43,45,2
56,0,47,43,41,2
57,1,51,44,50,2
58,0,69,44,46,2
59,1,27,46,51,0
60,0,53,46,46,2
61,0,70,46,56,2
62,0,19,46,55,0
63,1,67,47,52,2
64,1,54,47,59,2
65,0,63,48,51,2
66,0,18,48,59,0
67,1,43,48,50,2
68,1,68,48,48,2
69,0,19,48,59,0
70,1,32,48,47,0
71,0,70,49,55,2
72,1,47,49,42,2
73,1,60,50,49,2
74,1,60,50,56,2
75,0,59,54,47,2
76,0,26,54,54,0
77,1,45,54,53,2
78,0,40,54,48,2
79,1,23,54,52,0
80,1,49,54,42,2
81,0,57,54,51,2
82,0,38,54,55,0
83,0,67,54,41,2
84,1,46,54,44,2
85,1,21,54,57,0
86,0,48,54,46,2
87,1,55,57,58,2
88,1,22,57,55,0
89,1,34,58,60,0
90,1,50,58,46,2
91,1,68,59,55,2
92,0,18,59,41,0
93,0,48,60,49,2
94,1,40,60,40,2
95,1,32,60,42,0
96,0,24,60,52,0
97,1,47,60,47,2
98,1,27,60,50,0
99,0,48,61,42,2
100,0,20,61,49,0
101,1,23,62,41,0
102,1,49,62,48,2
103,0,67,62,59,2
104,0,26,62,55,0
105,0,49,62,56,2
106,1,21,62,42,0
107,1,66,63,50,2
108,0,54,63,46,2
109,0,68,63,43,2
110,0,66,63,48,2
111,0,65,63,52,2
112,1,19,63,54,0
113,1,38,64,42,2
114,0,19,64,46,0
115,1,18,65,48,0
116,1,19,65,50,0
117,1,63,65,43,2
118,1,49,65,59,2
119,1,51,67,43,2
120,1,50,67,57,2
121,0,27,67,56,0
122,1,38,67,40,2
123,1,40,69,58,1
124,0,39,69,91,1
125,1,23,70,29,0
126,1,31,70,77,1
127,0,43,71,35,2
128,0,40,71,95,1
129,0,59,71,11,2
130,0,38,71,75,1
131,0,47,71,9,2
132,0,39,71,75,1
133,1,25,72,34,0
134,1,31,72,71,1
135,0,20,73,5,0
136,1,29,73,88,1
137,1,44,73,7,2
138,0,32,73,73,1
139,0,19,74,10,0
140,1,35,74,72,1
141,1,57,75,5,2
142,0,32,75,93,1
143,1,28,76,40,0
144,1,32,76,87,1
145,0,25,77,12,0
146,0,28,77,97,1
147,0,48,77,36,2
148,1,32,77,74,1
149,1,34,78,22,2
150,0,34,78,90,1
151,0,43,78,17,2
152,0,39,78,88,1
153,1,44,78,20,2
154,1,38,78,76,1
155,1,47,78,16,2
156,1,27,78,89,1
157,0,37,78,1,2
158,1,30,78,78,1
159,0,34,78,1,2
160,1,30,78,73,1
161,1,56,79,35,2
162,1,29,79,83,1
163,0,19,81,5,0
164,1,31,81,93,1
165,0,50,85,26,2
166,1,36,85,75,1
167,0,42,86,20,2
168,1,33,86,95,1
169,1,36,87,27,2
170,0,32,87,63,1
171,0,40,87,13,2
172,0,28,87,75,1
173,0,36,87,10,2
174,0,36,87,92,1
175,1,52,88,13,2
176,1,30,88,86,1
177,0,58,88,15,2
178,0,27,88,69,1
179,0,59,93,14,2
180,0,35,93,90,1
181,1,37,97,32,2
182,1,32,97,86,1
183,0,46,98,15,2
184,1,29,98,88,1
185,1,41,99,39,2
186,0,30,99,97,1
187,1,54,101,24,2
188,0,28,101,68,1
189,1,41,103,17,2
190,1,36,103,85,1
191,1,34,103,23,2
192,1,32,103,69,1
193,0,33,113,8,2
194,1,38,113,91,1
195,1,47,120,16,2
196,1,35,120,79,1
197,1,45,126,28,2
198,0,32,126,74,1
199,0,32,137,18,1
200,0,30,137,83,1
